"depth","lith","agk","ang","por"
1076.8,"94",0.92113,0.15133,0.01
1076.9,"94",0.9535,0.12911,0.01
1077,"94",0.98255,0.09387,0.01
1077.1,"94",0.99928,0.07547,0.01
1077.2,"94",1,0.08136,0.01
1077.3,"94",1,0.08329,0.01
1077.4,"94",0.98555,0.08535,0.01
1077.5,"94",0.95519,0.10218,0.01
1077.6,"94",0.92537,0.11337,0.01
1077.7,"94",0.89963,0.10808,0.01
1077.8,"94",0.89287,0.10337,0.01
1077.9,"94",0.91223,0.09584,0.01
1078,"94",0.93272,0.08802,0.01
1078.1,"94",0.94672,0.09566,0.01
1078.2,"94",0.96653,0.09936,0.01
1078.3,"94",0.97421,0.0912,0.01
1078.4,"94",0.95579,0.09023,0.01
1078.5,"94",0.93721,0.09134,0.01
1078.6,"94",0.93271,0.08596,0.01
1078.7,"94",0.9265,0.09155,0.01
1078.8,"94",0.91425,0.10088,0.01
1078.9,"94",0.91437,0.09974,0.01
1079,"94",0.93491,0.10094,0.01
1079.1,"94",0.95462,0.11166,0.01
1079.2,"94",0.98037,0.1211,0.01
1079.3,"94",1,0.13408,0.01
1079.4,"94",1,0.15656,0.01
1079.5,"94",1,0.17751,0.01
1079.6,"94",1,0.19272,0.01
1079.7,"94",1,0.20998,0.01
1079.8,"94",0.95592,0.24384,0.01
1079.9,"94",0.88169,0.28159,0.01
1080,"18",0.84091,0.29723,0.01
1080.1,"18",0.82477,0.30417,0.01
1080.2,"18",0.78703,0.31981,0.01
1080.3,"18",0.75999,0.32284,0.01
1080.4,"18",0.76585,0.32603,0.01
1080.5,"18",0.74757,0.3522,0.01
1080.6,"18",0.69873,0.38435,0.01
1080.7,"18",0.67164,0.40575,0.01
1080.8,"18",0.64996,0.41995,0.01
1080.9,"18",0.61281,0.41859,0.01
1081,"18",0.57887,0.40939,0.01
1081.1,"18",0.56729,0.40037,0.01
1081.2,"18",0.56605,0.38748,0.01
1081.3,"18",0.5786,0.3727,0.01
1081.4,"18",0.61858,0.3536,0.01
1081.5,"18",0.66144,0.3297,0.01
1081.6,"18",0.70174,0.29753,0.01
1081.7,"18",0.74511,0.26288,0.01
1081.8,"18",0.77224,0.2404,0.01
1081.9,"18",0.77131,0.22997,0.01
1082,"18",0.76979,0.21112,0.01
1082.1,"18",0.77129,0.19549,0.01
1082.2,"94",0.76443,0.18351,0.01
1082.3,"94",0.76863,0.16217,0.01
1082.4,"94",0.79404,0.14055,0.01
1082.5,"94",0.814,0.13485,0.01
1082.6,"94",0.82702,0.15459,0.01
1082.7,"94",0.84292,0.1921,0.01
1082.8,"94",0.84774,0.21711,0.01
1082.9,"94",0.83121,0.22978,0.01
1083,"94",0.78578,0.25895,0.01
1083.1,"94",0.72751,0.28027,0.01
1083.2,"94",0.67598,0.28866,0.01
1083.3,"94",0.64065,0.31199,0.01
1083.4,"94",0.61589,0.34161,0.01
1083.5,"18",0.61857,0.34976,0.01
1083.6,"18",0.6441,0.35077,0.01
1083.7,"18",0.66902,0.3532,0.01
1083.8,"18",0.69561,0.33737,0.01
1083.9,"18",0.72429,0.31138,0.01
1084,"18",0.76441,0.29557,0.01
1084.1,"18",0.80793,0.27927,0.01
1084.2,"18",0.83015,0.25533,0.01
1084.3,"18",0.83804,0.24536,0.01
1084.4,"18",0.85801,0.24263,0.01
1084.5,"18",0.8728,0.22948,0.01
1084.6,"18",0.87906,0.20712,0.01
1084.7,"18",0.90034,0.18716,0.01
1084.8,"94",0.92857,0.16888,0.01
1084.9,"94",0.93698,0.15494,0.01
1085,"94",0.95256,0.14682,0.01
1085.1,"94",0.97217,0.14615,0.01
1085.2,"94",0.97602,0.16533,0.01
1085.3,"94",0.97208,0.19709,0.01
1085.4,"94",0.93188,0.22303,0.01
1085.5,"18",0.98864,0.24296,0.01
1085.6,"18",0.8738,0.26139,0.01
1085.7,"18",0.75783,0.26178,0.01
1085.8,"18",0.67107,0.25675,0.01
1085.9,"18",0.64092,0.26115,0.01
1086,"18",0.62505,0.2575,0.01
1086.1,"18",0.61899,0.24685,0.01
1086.2,"18",0.54065,0.24189,0.01
1086.3,"18",0.54171,0.23307,0.01
1086.4,"18",0.56543,0.22187,0.01
1086.5,"18",0.6284,0.2224,0.01
1086.6,"18",0.70968,0.22258,0.01
1086.7,"18",0.80256,0.21298,0.01
1086.8,"18",0.8987,0.206,0.01
1086.9,"94",0.96141,0.20147,0.01
1087,"94",1,0.17943,0.01
1087.1,"94",1,0.15403,0.01
1087.2,"94",1,0.15246,0.01
1087.3,"94",1,0.15694,0.01
1087.4,"94",1,0.15742,0.01
1087.5,"94",1,0.17453,0.01
1087.6,"94",0.99986,0.20022,0.01
1087.7,"94",1,0.20645,0.01
1087.8,"94",1,0.19107,0.01
1087.9,"94",1,0.16941,0.01
1088,"94",1,0.14973,0.01
1088.1,"94",1,0.13432,0.01
1088.2,"94",1,0.11546,0.01
1088.3,"94",1,0.10593,0.01
1088.4,"94",1,0.11687,0.01
1088.5,"94",1,0.1348,0.01
1088.6,"94",1,0.15297,0.01
1088.7,"94",0.92242,0.17704,0.01
1088.8,"94",0.84867,0.2116,0.01
1088.9,"94",0.79518,0.23777,0.01
1089,"94",0.73106,0.24758,0.01
1089.1,"94",0.69237,0.25006,0.01
1089.2,"94",0.59145,0.25414,0.01
1089.3,"94",0.58232,0.25036,0.01
1089.4,"94",0.55308,0.24082,0.01
1089.5,"94",0.53092,0.23806,0.01
1089.6,"94",0.54222,0.23265,0.01
1089.7,"94",0.5587,0.21992,0.01
1089.8,"94",0.56088,0.19631,0.01
