"GR","NPHI","RHOB","RT","PHIE"
91.68,0.2778,2.064,1.06,0.262635
101.34,0.2903,2.176,1.63,0.258116
100.7,0.3025,2.202,1.6,0.236802
102.72,0.2828,2.202,1.57,0.244634
110.07,0.2796,2.219,1.58,0.227623
124.77,0.285,2.245,1.64,0.189051
137.02,0.2778,2.266,1.67,0.146742
132.92,0.2767,2.249,1.65,0.160041
130.26,0.2812,2.239,1.57,0.173364
131.46,0.284,2.236,1.52,0.172296
140.11,0.2839,2.236,1.51,0.120042
138.97,0.2819,2.247,1.51,0.162159
133.35,0.2756,2.264,1.51,0.184772
132.53,0.2789,2.251,1.51,0.202778
127.47,0.2829,2.243,1.49,0.185636
124.49,0.2807,2.236,1.48,0.194162
135.09,0.2693,2.236,1.47,0.156701
132.46,0.2398,2.247,1.47,0.152803
147.07,0.2764,2.257,1.46,0.197212
127.61,0.2764,2.266,1.46,0.177558
132.69,0.2762,2.25,1.47,0.209944
134.22,0.2998,2.245,1.49,0.120741
134.01,0.2623,2.257,1.5,0.21911
135.56,0.2503,2.26,1.49,0.225414
138.79,0.2587,2.277,1.48,0.197378
147.3,0.2644,2.276,1.48,0.18881
137.04,0.2581,2.232,1.48,0.146922
136.05,0.2759,2.243,1.5,0.154725
140.68,0.2794,2.247,1.5,0.203835
138.9,0.2444,2.241,1.5,0.135601
153.43,0.246,2.245,1.5,0.228279
150.35,0.2527,2.261,1.5,0.222861
133.84,0.2661,2.259,1.49,0.21224
137.79,0.2458,2.256,1.49,0.2315
145.63,0.2423,2.254,1.47,0.234679
152.97,0.228,2.251,1.42,0.205737
147.21,0.2684,2.23,1.4,0.22283
133.4,0.237,2.227,1.38,0.157319
142.14,0.2042,2.234,1.36,0.251672
156.23,0.221,2.258,1.39,0.237141
141.45,0.2164,2.277,1.46,0.224396
138.3,0.2144,2.249,1.53,0.16712
128.42,0.2412,2.241,1.58,0.168107
120.77,0.2328,2.237,1.62,0.184722
114.81,0.2138,2.255,1.65,0.186351
116.7,0.195,2.258,1.64,0.221663
119.13,0.2096,2.26,1.64,0.175434
117.28,0.2063,2.261,1.63,0.177704
119.47,0.2035,2.261,1.62,0.199322
118.23,0.2306,2.255,1.61,0.186394
115.9,0.2387,2.226,1.6,0.20025
119.1,0.2212,2.233,1.58,0.187425
134.42,0.2281,2.239,1.59,0.139811
117.7,0.2474,2.243,1.62,0.196597
107.94,0.2577,2.239,1.64,0.217191
107.69,0.2409,2.231,1.64,0.211287
118.19,0.2443,2.235,1.63,0.192589
108.34,0.2499,2.226,1.56,0.218245
114.77,0.2362,2.22,1.53,0.201545
124.03,0.2284,2.23,1.5,0.180093
106.62,0.2312,2.249,1.51,0.206465
105.43,0.2265,2.235,1.52,0.212497
103.12,0.223,2.224,1.52,0.218472
104.84,0.2148,2.219,1.49,0.213142
101.86,0.2202,2.209,1.47,0.222785
85.75,0.2199,2.199,1.46,0.244582
105.27,0.2305,2.199,1.47,0.223733
